gds.util.asNode(nodeId).categories,triangleCount
"[History,British_History,British_History_1500_and_before_including_Roman_Britain,History,General_history]",45
"[Everyday_life,Food_and_agriculture,Science,Biology,Mammals]",45
"[People,Artists,People,Engineers_and_inventors]",44
"[History,Historians_chroniclers_and_history_books,People,Human_Scientists]",42
"[People,Historical_figures,People,Political_People]",42
"[Citizenship,Conflict_and_Peace,Citizenship,Politics_and_government]",41
"[Design_and_Technology,Engineering,History,Military_History_and_War]",41
"[Music,Musical_Recordings_and_compositions]",40
"[Business_Studies,Business,Science,Chemistry,Chemical_compounds]",38
"[History,British_History,British_History_1500_and_before_including_Roman_Britain,Language_and_literature,Literature_types]",37
"[Everyday_life,Food_and_agriculture,Science,Biology,Organisms]",34
"[Citizenship,Culture_and_Diversity,Everyday_life,Everyday_life]",34
"[People,Producers_directors_and_media_figures]",33
"[History,British_History,British_History_1500_and_before_including_Roman_Britain,People,Military_People,People,Monarchs_of_Great_Britain]",33
"[History,British_History,British_History_1500_and_before_including_Roman_Britain,History,Military_History_and_War]",33
"[Everyday_life,Everyday_life,Science,Biology,General_Biology]",32
"[Everyday_life,Everyday_life,Science,Biology,Health_and_medicine]",31
"[Business_Studies,Companies,IT,Software]",30
"[History,British_History,British_History_1500_and_before_including_Roman_Britain,People,Historical_figures]",29
"[Design_and_Technology,Engineering,Science,Physics,Space_transport]",28
"[Design_and_Technology,Engineering,Science,Biology,Organisms]",28
"[History,British_History,British_History_17501900,People,Political_People]",26
"[IT,Cryptography]",26
"[Everyday_life,Food_and_agriculture,Science,Biology,General_Biology]",26
"[People,Mathematicians,Science,Physics,Space_Astronomy]",24
"[History,North_American_History,Citizenship,Politics_and_government]",24
"[History,British_History,British_History_1500_and_before_including_Roman_Britain,People,Monarchs_of_Great_Britain,People,Religious_figures_and_leaders]",23
"[Design_and_Technology,Air_and_Sea_transport,Design_and_Technology,Engineering]",23
"[Everyday_life,Everyday_life,Mathematics]",23
"[History,British_History,British_History_17501900,People,Military_People]",22
"[People,Historical_figures,People,Military_People]",22
"[Science,Biology,General_Biology,IT,Software]",22
"[History,Military_History_and_War,Religion,Religious_disputes]",22
"[Design_and_Technology,Architecture,People,Engineers_and_inventors]",21
"[Art,Art,Language_and_literature,Theatre]",21
"[Science,Chemistry,Chemical_compounds,Science,Biology,Health_and_medicine]",21
"[Everyday_life,Food_and_agriculture,Science,Biology,Health_and_medicine]",21
"[History,British_History,British_History_17501900,People,Writers_and_critics]",21
"[History,British_History,British_History_15001750,Business_Studies,Companies]",20
"[Design_and_Technology,Engineering,Science,Physics,Space_Astronomy]",19
"[Design_and_Technology,Engineering,Citizenship,Environment]",19
"[Design_and_Technology,Road_transport]",18
"[People,Political_People,People,USA_Presidents]",18
"[Design_and_Technology,Architecture,Art,Art]",18
"[History,British_History,British_History_15001750,People,Historical_figures]",17
"[People,Astronomers_and_physicists,People,Historical_figures]",16
"[Language_and_literature,Literature_types,Language_and_literature,Theatre]",15
"[Design_and_Technology,Air_and_Sea_transport,History,Military_History_and_War]",15
"[Language_and_literature,Poetry_and_Opera,People,Writers_and_critics]",15
"[Business_Studies,Companies,Everyday_life,Computer_and_Video_games]",15
"[Science,Biology,General_Biology,Science,Chemistry,General_Chemistry]",15
"[Citizenship,Environment,Science,Physics,General_Physics]",14
"[Citizenship,Community_organisations,Religion,Religious_movements_traditions_and_organizations]",14
"[History,Recent_History,Science,Physics,Space_transport]",13
"[Business_Studies,Economics,Citizenship,Politics_and_government]",13
"[History,British_History,British_History_15001750,Religion,Religious_movements_traditions_and_organizations]",13
"[Citizenship,Animal_and_Human_Rights,Citizenship,Politics_and_government]",13
"[People,Political_People,Religion,Religious_movements_traditions_and_organizations]",13
"[Citizenship,Animal_and_Human_Rights,Everyday_life,Everyday_life]",12
"[IT,Computing_hardware_and_infrastructure,Design_and_Technology,Engineering]",12
"[Art,Art,Business_Studies,Business,Everyday_life,Everyday_life]",12
"[Everyday_life,Cartoons,Everyday_life,Television]",12
"[Citizenship,Education,Everyday_life,Recreation]",11
"[Business_Studies,Business,Everyday_life,Everyday_life]",11
"[History,British_History,British_History_1500_and_before_including_Roman_Britain,History,Historians_chroniclers_and_history_books]",11
"[History,British_History,British_History_15001750,People,Writers_and_critics]",11
"[Citizenship,Media,Citizenship,Politics_and_government]",10
"[Science,Biology,Evolution_and_reproduction,People,Writers_and_critics]",10
"[Design_and_Technology,Air_and_Sea_transport,History,British_History,British_History_Post_1900]",10
"[People,Historical_figures,Science,Physics,Space_transport]",10
"[History,British_History,British_History_1500_and_before_including_Roman_Britain,Music,Musical_genres_styles_eras_and_events]",10
"[Art,Art,Everyday_life,Recreation]",10
"[History,Military_History_and_War,History,Pre_1900_Military,Religion,Religious_disputes]",9
"[Business_Studies,Companies,IT,Computing_hardware_and_infrastructure]",9
"[Science,Physics,Electricity_and_Electronics,Design_and_Technology,Engineering]",9
"[History,General_history,Religion,Religious_disputes]",9
"[Business_Studies,Business,Business_Studies,Economics]",9
"[Everyday_life,Cartoons,People,Producers_directors_and_media_figures]",8
"[History,Ancient_History_Classical_History_and_Mythology,Language_and_literature,Poetry_and_Opera]",8
"[History,British_History,British_History_17501900,People,Engineers_and_inventors]",8
"[Citizenship,Conflict_and_Peace,History,Recent_History]",7
"[Science,Biology,Plants,Everyday_life,Recreation]",7
"[History,Military_History_and_War,History,World_War_II]",7
"[History,British_History,British_History_1500_and_before_including_Roman_Britain,Religion,Religious_movements_traditions_and_organizations]",6
"[IT,Cryptography,Design_and_Technology,Engineering]",6
"[IT,Computer_Programming,IT,Software]",6
"[Everyday_life,Recreation,Everyday_life,Sports]",6
"[History,British_History,British_History_Post_1900,People,Performers_and_composers]",6
"[IT,Computing_hardware_and_infrastructure,History,Recent_History]",6
"[Design_and_Technology,Architecture,Everyday_life,Everyday_life]",6
"[Design_and_Technology,Architecture,Language_and_literature,Theatre]",6
"[Business_Studies,Business,Citizenship,Community_organisations]",5
"[History,British_History,British_History_17501900,People,Human_Scientists]",5
"[History,Ancient_History_Classical_History_and_Mythology,History,General_history]",5
"[Religion,Religious_disputes,Religion,Religious_movements_traditions_and_organizations]",5
"[Science,Biology,Health_and_medicine,History,Recent_History]",4
"[Design_and_Technology,Air_and_Sea_transport,History,World_War_II]",4
"[Everyday_life,Food_and_agriculture,Everyday_life,Recreation]",4
"[History,British_History,British_History_Post_1900,Everyday_life,Sports_events]",4
"[History,Ancient_History_Classical_History_and_Mythology,Design_and_Technology,Architecture]",3
[NaN],3
"[History,Ancient_History_Classical_History_and_Mythology,Religion,Myths]",3
"[People,Military_People,History,World_War_II]",3
"[Design_and_Technology,Engineering,Everyday_life,Sports]",3
"[History,British_History,British_History_Post_1900,People,Engineers_and_inventors]",3
"[Citizenship,Environment,Citizenship,Politics_and_government]",2
"[Design_and_Technology,Architecture,Design_and_Technology,Railway_transport]",2
"[History,Ancient_History_Classical_History_and_Mythology,People,Religious_figures_and_leaders]",2
"[Science,Chemistry,Chemical_compounds,Science,Physics,General_Physics]",2
"[History,British_History,British_History_15001750,Citizenship,Law]",2
"[Design_and_Technology,Air_and_Sea_transport,History,British_History,British_History_1500_and_before_including_Roman_Britain]",2
"[Design_and_Technology,Architecture,History,British_History,British_History_1500_and_before_including_Roman_Britain]",1
"[Design_and_Technology,Engineering,Design_and_Technology,Railway_transport]",1
"[Design_and_Technology,Engineering,Design_and_Technology,Road_transport]",1
"[Art,Artists]",1
"[Science,Biology,Health_and_medicine,Science,Biology,Organisms]",1
"[History,British_History,British_History_15001750,History,British_History,British_History_17501900]",1
"[History,British_History,History,British_History,British_History_15001750]",1
"[History,General_history,People,Historical_figures]",1
"[Science,Physics,General_Physics,Science,Physics,Space_transport]",0
"[Science,Biology,General_Biology,Science,Biology,Health_and_medicine]",0
"[History,Archaeology,History,British_History,British_History_1500_and_before_including_Roman_Britain]",0
"[History,Ancient_History_Classical_History_and_Mythology,History,Military_History_and_War]",0
"[History,Historians_chroniclers_and_history_books,People,Historical_figures]",0
"[Everyday_life,Computer_and_Video_games,Everyday_life,Films]",0
"[History,Ancient_History_Classical_History_and_Mythology,History,Historians_chroniclers_and_history_books]",0
"[History,British_History,British_History_17501900,People,Historical_figures,People,Political_People]",0
"[Design_and_Technology,Architecture,Design_and_Technology,Engineering]",0
"[Science,Biology,Birds,Everyday_life,Food_and_agriculture]",0
"[Citizenship,Animal_and_Human_Rights,Citizenship,Law]",0
"[History,British_History,British_History_17501900,People,Geographers_and_explorers]",0
"[History,Archaeology,Design_and_Technology,Architecture]",0
"[History,British_History,British_History_1500_and_before_including_Roman_Britain,People,Religious_figures_and_leaders]",0
"[History,British_History,British_History_Post_1900,History,Recent_History]",0
"[Design_and_Technology,Engineering,Science,Physics,General_Physics]",0
